Star Rating,Review Title,Review Description
5.0 out of 5 stars,Good Phone for long battery usage,Good phoneGood battery lifeDecent cameraVery happy with split screen and new origin OS availability in lower price segmentRead more
5.0 out of 5 stars,Good phone for studying longer,"Bought this phone for my brother .Nice phone , suitable for long hour studyin and usage..Quite a big batteryGood phone for playing freefire ..it doesn't lagLooks wise it's okWill share further review , once I have used this fot sufficent timeRead more"
5.0 out of 5 stars,Very Good Phone,"Very Nice Phone, as I expected, I am using 2 phones now of IQOO Z10X AND Z11X, And I am fully Satisfied with this company of Vivo.Read more"
5.0 out of 5 stars,Performance and battery beast,"The experience with this smartphone has been really fantastic. I bought this smartphone for performance and battery and this provides me things beyond my expectation.The Battery last for more than 2 days, while the performance is top notch. Camera in the smartphone is also great. The display quality never felt low which was concerning at the startingOverall top notch performance, top notch battery and a great camera system really make the smartphone value for its price.Read more"
5.0 out of 5 stars,"Very nice phone!  ,but need to know how it wil perform after hard-core usage","Very nice phone!  ,but need to know how it wil perform after hard-core usageRead more"
5.0 out of 5 stars,Smooth phone with good battery,I have been playing Freefire on this device. The phone is pretty smooth and the battery lasts for more than 2 days.Read more
1.0 out of 5 stars,Not bad,Not goodRead more
3.0 out of 5 stars,Average product,Build desigen not goodDisplay averageHang issueNot value for moneyOuality very badBattery very goodRead more
5.0 out of 5 stars,"Great performance, best value for money phone, sleek and good battery",Its sleek and great phoneRead more
4.0 out of 5 stars,"Overall you can should buy realme 15x , or u can buy this also but i suggest realme 15x .","First of all, I would like to talk about my Realme Narzo 80 Pro 5G. Overall, it is a very good phone in the 20–22k INR price range. I have been using this phone since 17 August 2025, and today is 28 November 2025—almost 4 months. The gaming performance is very good. The camera quality is also very good in bright environments such as sunlight or outdoors, especially when taking photos of people. Nature photography is also decent. Also sound quality is also good , i'm reading some negative comments , but i want to tell to whomever reading this review , The phone has dual stereo speaker support also , with 300% voice boost .I have the 8 GB RAM + 128 GB storage variant. I strongly suggest buying the 256 GB storage variant because in the 128 GB version, a large portion of the storage is taken by the system—around 30–40 GB. So, you only get about 60–70 GB of usable space, which is quite low for modern usage. Even though the phone is advertised as 128 GB, you don’t actually get the full 128 GB.In terms of performance, I did not face any heating issues. The phone stays cool during normal and even heavy tasks. It only heats slightly while charging, which is completely normal for fast-charging phones. The connectivity is also very good, with strong Wi-Fi and Bluetooth performance. Storage transfer speeds are fast as well, thanks to UFS 3.1 storage.I also appreciate the battery capacity, which is quite good for modern phones (6000 mAh). The battery lasts around 20–21 hours with moderate usage such as YouTube, Instagram Reels, or studying on the PW app. However, I have one issue with the screen. Although the display is very bright, easy to use in sunlight, and has excellent color quality, I would advise avoiding phones with curved displays. If a curved screen breaks after dropping on a cemented road or anywhere else, it is very difficult to find a duplicate replacement screen in the market.Additionally, you cannot expand the memory using an SD card, and there is no audio jack on this phone. On the positive side, the 80W charging is amazing—it charges the phone up to 25% in just 10 minutes and more than 60% in under 30 minutes.Overall, the phone is very good, but I still recommend checking out the Realme 15x. It offers almost the same features and is even better in some aspects because it doesn’t have a curved display. The Realme 15x also comes with 60W SUPERVOOC charging and a massive 7000 mAh battery, which is extremely impressive and lasts even longer.Read more"
5.0 out of 5 stars,Great device at this range,Worth every penny! Camera is surprisingly good. Phone is lightweight and sleek and very comfortable. Buy this if p3 ultra and p4 are costlier.Read more
5.0 out of 5 stars,What a phone,Absolutely amazing mobile. I highly recommend this mobile if you are looking for mid range budget mobile. I don't want to call it is as budget mobile because it delivering premium quality.it will easily match with any flagship mobiles because forget about the configuration just look the performance and display quality it is giving is important then anything else. The display is great and touch is fantastic and battery is very good all day long. I got refreshed by this phone after a long period of redmi note 14 usage which irritated me with lagging experience but this phone given me how much I wasted time with my previous one.The bgmi play really amazing I don't know how much fps it is giving but I felt awesome. No heat issues . You can pick 128gb varient (it will save 2k) only if you are a intelligent storage keeper because now a days everyone using Googleone or other cloud storages. If you are reckless user just go for 256gb. But I only facing one issue with this phone the tampered glass edges are getting dirty scratches easily while taking in and out from my pocket because of curves . But this issue is nothing in front of my previous phone experience.Note : My sincere request is to everyone not to buy redmi phones even top end phone.my previous phone is redmi note 14 5g . I can't say how much the phone irritated me for a long period.there are plenty things to say about this mobile but I can't explain my frustration here.after 1 year of use I exchanged it to 9.5k but I purchased at 22kRead more
