Star Rating,Review Title,Review Description,review_text_final
5.0 out of 5 stars,Good Phone for long battery usage,Good phoneGood battery lifeDecent cameraVery happy with split screen and new origin OS availability in lower price segmentRead more,good phone good battery life decent camera happy split screen new origin os availability lower price segment
5.0 out of 5 stars,Good phone for studying longer,"Bought this phone for my brother .Nice phone , suitable for long hour studyin and usage..Quite a big batteryGood phone for playing freefire ..it doesn't lagLooks wise it's okWill share further review , once I have used this fot sufficent timeRead more",bought phone brother phone suitable long hour studyin usage quite big battery good phone playing freefire lag look wise ok share review used fot sufficent time
5.0 out of 5 stars,Very Good Phone,"Very Nice Phone, as I expected, I am using 2 phones now of IQOO Z10X AND Z11X, And I am fully Satisfied with this company of Vivo.Read more",nice phone expected using 2 phone iqoo z10x z11x fully satisfied company vivo
5.0 out of 5 stars,Performance and battery beast,"The experience with this smartphone has been really fantastic. I bought this smartphone for performance and battery and this provides me things beyond my expectation.The Battery last for more than 2 days, while the performance is top notch. Camera in the smartphone is also great. The display quality never felt low which was concerning at the startingOverall top notch performance, top notch battery and a great camera system really make the smartphone value for its price.Read more",experience smartphone really fantastic bought smartphone performance battery provides thing beyond battery last 2 day performance top notch camera smartphone also great display quality never felt low concerning starting overall top notch performance top notch battery great camera system really make smartphone value price
5.0 out of 5 stars,"Very nice phone!  ,but need to know how it wil perform after hard-core usage","Very nice phone!  ,but need to know how it wil perform after hard-core usageRead more",nice phone need know wil perform usage
5.0 out of 5 stars,Smooth phone with good battery,I have been playing Freefire on this device. The phone is pretty smooth and the battery lasts for more than 2 days.Read more,playing freefire device phone pretty smooth battery last 2 day
1.0 out of 5 stars,Not bad,Not goodRead more,good
3.0 out of 5 stars,Average product,Build desigen not goodDisplay averageHang issueNot value for moneyOuality very badBattery very goodRead more,build desigen good display average hang issue value money ouality bad battery good
5.0 out of 5 stars,"Great performance, best value for money phone, sleek and good battery",Its sleek and great phoneRead more,sleek great phone
4.0 out of 5 stars,"Overall you can should buy realme 15x , or u can buy this also but i suggest realme 15x .","First of all, I would like to talk about my Realme Narzo 80 Pro 5G. Overall, it is a very good phone in the 20–22k INR price range. I have been using this phone since 17 August 2025, and today is 28 November 2025—almost 4 months. The gaming performance is very good. The camera quality is also very good in bright environments such as sunlight or outdoors, especially when taking photos of people. Nature photography is also decent. Also sound quality is also good , i'm reading some negative comments , but i want to tell to whomever reading this review , The phone has dual stereo speaker support also , with 300% voice boost .I have the 8 GB RAM + 128 GB storage variant. I strongly suggest buying the 256 GB storage variant because in the 128 GB version, a large portion of the storage is taken by the system—around 30–40 GB. So, you only get about 60–70 GB of usable space, which is quite low for modern usage. Even though the phone is advertised as 128 GB, you don’t actually get the full 128 GB.In terms of performance, I did not face any heating issues. The phone stays cool during normal and even heavy tasks. It only heats slightly while charging, which is completely normal for fast-charging phones. The connectivity is also very good, with strong Wi-Fi and Bluetooth performance. Storage transfer speeds are fast as well, thanks to UFS 3.1 storage.I also appreciate the battery capacity, which is quite good for modern phones (6000 mAh). The battery lasts around 20–21 hours with moderate usage such as YouTube, Instagram Reels, or studying on the PW app. However, I have one issue with the screen. Although the display is very bright, easy to use in sunlight, and has excellent color quality, I would advise avoiding phones with curved displays. If a curved screen breaks after dropping on a cemented road or anywhere else, it is very difficult to find a duplicate replacement screen in the market.Additionally, you cannot expand the memory using an SD card, and there is no audio jack on this phone. On the positive side, the 80W charging is amazing—it charges the phone up to 25% in just 10 minutes and more than 60% in under 30 minutes.Overall, the phone is very good, but I still recommend checking out the Realme 15x. It offers almost the same features and is even better in some aspects because it doesn’t have a curved display. The Realme 15x also comes with 60W SUPERVOOC charging and a massive 7000 mAh battery, which is extremely impressive and lasts even longer.Read more",first would like talk realme narzo 80 pro 5g overall good phone inr price range using phone since 17 august 2025 today 28 november 4 month gaming performance good camera quality also good bright environment sunlight outdoors especially taking photo people nature photography also decent also sound quality also good reading negative comment want tell whomever reading review phone dual stereo speaker support also 300 voice boost 8 gb ram 128 gb storage variant strongly suggest buying 256 gb storage variant 128 gb version large portion storage taken gb get gb usable space quite low modern usage even though phone advertised 128 gb actually get full 128 term performance face heating issue phone stay cool normal even heavy task heat slightly charging completely normal phone connectivity also good strong bluetooth performance storage transfer speed fast well thanks ufs also appreciate battery capacity quite good modern phone 6000 ah battery last around hour moderate usage tube instagram reel studying pw app however one issue screen although display bright easy use sunlight excellent color quality would advise avoiding phone curved display curved screen break dropping cemented road anywhere else difficult find duplicate replacement screen expand memory using sd card audio jack phone positive side 80w charging charge phone 25 10 minute 60 30 phone good still recommend checking realme 15x offer almost feature even better aspect curved display realme 15x also come 60w supervooc charging massive 7000 ah battery extremely impressive last even longer
5.0 out of 5 stars,Great device at this range,Worth every penny! Camera is surprisingly good. Phone is lightweight and sleek and very comfortable. Buy this if p3 ultra and p4 are costlier.Read more,worth every penny camera surprisingly good phone lightweight sleek comfortable buy p3 ultra p4 costlier
5.0 out of 5 stars,What a phone,Absolutely amazing mobile. I highly recommend this mobile if you are looking for mid range budget mobile. I don't want to call it is as budget mobile because it delivering premium quality.it will easily match with any flagship mobiles because forget about the configuration just look the performance and display quality it is giving is important then anything else. The display is great and touch is fantastic and battery is very good all day long. I got refreshed by this phone after a long period of redmi note 14 usage which irritated me with lagging experience but this phone given me how much I wasted time with my previous one.The bgmi play really amazing I don't know how much fps it is giving but I felt awesome. No heat issues . You can pick 128gb varient (it will save 2k) only if you are a intelligent storage keeper because now a days everyone using Googleone or other cloud storages. If you are reckless user just go for 256gb. But I only facing one issue with this phone the tampered glass edges are getting dirty scratches easily while taking in and out from my pocket because of curves . But this issue is nothing in front of my previous phone experience.Note : My sincere request is to everyone not to buy redmi phones even top end phone.my previous phone is redmi note 14 5g . I can't say how much the phone irritated me for a long period.there are plenty things to say about this mobile but I can't explain my frustration here.after 1 year of use I exchanged it to 9.5k but I purchased at 22kRead more,absolutely amazing mobile highly recommend mobile looking mid range budget mobile want call budget mobile delivering premium easily match flagship mobile forget configuration look performance display quality giving important anything else display great touch fantastic battery good day long got refreshed phone long period redmi note 14 usage irritated lagging experience phone given much wasted time previous bgmi play really amazing know much fps giving felt awesome heat issue pick 128gb varient save 2k intelligent storage keeper day everyone using googleone cloud storage reckless user go 256gb facing one issue phone tampered glass edge getting dirty scratch easily taking pocket curve issue nothing front previous phone sincere request everyone buy redmi phone even top end previous phone redmi note 14 5g ca say much phone irritated long plenty thing say mobile ca explain frustration 1 year use exchanged purchased 22k
5.0 out of 5 stars,Best Smartphone under 20k with amoled display,Amazing phone and fast delivery from Amazon. Thankyou for that one day delivery option. Best phone with amoled display and screen fingerprint sensor. I ordered 8/256gb for 20k. Very lightweight and amazing sound quality with dual speakers. Also good camera quality.Read more,amazing phone fast delivery amazon thankyou one day delivery option best phone amoled display screen fingerprint sensor ordered 20k lightweight amazing sound quality dual speaker also good camera quality
4.0 out of 5 stars,Amazing product,"Amazing battery backup doesn't heat up, nice camera and sound quality.performance is also great according to the price.  Overall a durable and quality product.Read more",amazing battery backup heat nice camera sound also great according price overall durable quality product
5.0 out of 5 stars,Very good 👍,At this price this phone is good 😊Read more,price phone good
4.0 out of 5 stars,Good,The product is good loved it value for moneyRead more,product good loved value money
5.0 out of 5 stars,Absolutely Good,No issues till nowYou can buy it for students daily use or for your parents who are started to useTotally worth on this priceRead more,issue till buy student daily use parent started use totally worth price
4.0 out of 5 stars,Best deal at 8000 segment,"According to price , it is the best . Screen is large , speakers are loud , long lasting battery,light weight and usable camera. Best for giving to grandparents who want to learn using smartphoneRead more",according price best screen large speaker loud long lasting battery light weight usable camera best giving grandparent want learn using smartphone
5.0 out of 5 stars,Good entry level phone,This is a good entry level phone with good large 6.7 in display. Large battery and android 16 with one ui 8. A great phone for normal use. Don’t expect much from camera and gaming performance as it is an entry level phone.Read more,good entry level phone good large display large battery android 16 one ui great phone normal use expect much camera gaming performance entry level phone
5.0 out of 5 stars,Good product in affordable Prices,A very Good product in affordable Prices and For Gifting this to someone special is very satisfactory. Very Attractive Product at affordable Prices.Read more,good product affordable price gifting someone special satisfactory attractive product affordable price
4.0 out of 5 stars,"A good, solid phone at this price-point","This is marketed as a budget phone. Nonetheless, it has the quality and feel of a midrange product. It does all the essentials well, including Internet browsing, WhatsApp, etc. The only slight issue has been dropped wi-fi connection despite close proximity to the router. It'll switch to mobile data connection and this could consume a lot of data if you don't realise. You can change connection settings to avoid rapid switching from WiFi to data.Read more",marketed budget phone nonetheless quality feel midrange product essential well including internet browsing whats app etc slight issue dropped connection despite close proximity router switch mobile data connection could consume lot data realise change connection setting avoid rapid switching wi fi data
5.0 out of 5 stars,A quality phone with decent specs.,"This phone is purchased as a gift for an old person and she likes it a lot. The phone looks good, build quality is decent for the price, screen although not a FHD panel, is crisp & colourful and the phone is fast enough for general applications like WhatsApp and youtube. Camera takes good pictures and videos. Speaker is loud enough and call quality via microphone is also very good. She doesn't game so not sure about the gaming experience. I can't comment on the battery performance as I didn't check and she's almost always at home so battery may not be an issue for her. It's a 4G only phone so no 5G connectivity but it doesn't matter to us. Oh, and it will receive six Android updates.All in all, a good phone for the price.Read more",phone purchased gift old person like lot phone look good build quality decent price screen although fhd panel crisp colourful phone fast enough general application like whats app youtube camera take good picture video speaker loud enough call quality via microphone also good game sure gaming experience ca comment battery performance check almost always home battery may issue 4g phone 5g connectivity matter us oh receive six android good phone price
3.0 out of 5 stars,Ok,It's ok for the price but it would be great if it has 5gRead more,ok price would great 5g
4.0 out of 5 stars,Phone Review (After 3 Months of Use),"**Note:** I have been using this phone for the last 3 months for basic usage. It is working well, so you can trust it for normal use.### ✅ Pros1. **4G Support:** Since 4G coverage is widely available, the phone works well for everyday use.2. **Battery:** 5000 mAh battery provides excellent backup and easily lasts up to 2 days.3. **Display:** Samsung PLS LCD display with good quality and smooth touch response.4. **Performance:** Helio G99 processor delivers good speed for daily tasks.### ❌ Cons1. **No 5G Support:** The phone does not support 5G bands.2. **Camera:** Camera quality is average.3. **Limited RAM:** Although it has 4GB RAM, only about 1GB is usually free. This may cause issues with future Android updates and multitasking.4. **Performance Drop:** Installing many apps may slow down the phone due to limited RAM and storage.5. **Software Updates:** Samsung promises 6 generations of Android updates, but with only 4GB RAM and 64GB storage, future updates may affect performance and storage.### 📌 ConclusionThis is a basic smartphone suitable for calling, messaging, and light app usage. Do not expect high performance or advanced features.Read more",note using phone last 3 month basic usage working well trust normal pros1 4g support since 4g coverage widely available phone work well everyday battery 5000 ah battery provides excellent backup easily last 2 display samsung pls lcd display good quality smooth touch performance helio g99 processor delivers good speed daily cons1 5g support phone support 5g camera camera quality limited ram although 4gb ram 1gb usually free may cause issue future android update performance drop installing many apps may slow phone due limited ram software update samsung promise 6 generation android update 4gb ram 64gb storage future update may affect performance conclusion basic smartphone suitable calling messaging light app usage expect high performance advanced feature
5.0 out of 5 stars,Must Read! Highly Recommended,"Amazing performance, display is good, battery is superb, overall satisfied. I really don't care about the cameras but still it's good enough for daily usage. I have a secondary iphone 16 pro for camera. But since this is my primary phone for all other stuff and work I needed the best performance to battery ratio phone which this one delivered it perfectly well. Looks & Feel is premium too. I chose this overall iQOO 15r & Poco X8 Pro Max due the OS stability (ads free & feature loaded) and overall brand reliability. I have used Realme, Xiaomi, Moto & Samsung. But by fast the longevity & reliability wise I prefer oneplus -> Samsung -> Realme -> Xiaomi -> Moto -> iQOOReason being if anytime I need to replace screen or anything then fixing 1+, realme & Samsung have the best availability and repairability. So after sales is very important which brand like Samsung, Oneplus & Realme comes to top place.Also, regarding the price to value is it completely worth purchasing it because amid Ram price increase & war tensions going all over the world, it is highly likely phone prices are going to even much higher. So! Worth value for money purchaseRead more",amazing performance display good battery superb overall satisfied really care camera still good enough daily usage secondary iphone 16 pro camera since primary phone stuff work needed best performance battery ratio phone one delivered perfectly well look feel premium chose overall qoo 15r poco x8 pro max due os stability ad free feature loaded overall brand reliability used realme xiaomi moto samsung fast longevity reliability wise prefer oneplus samsung realme xiaomi moto qooreason anytime need replace screen anything fixing realme samsung best availability repairability sale important brand like samsung oneplus realme come top regarding price value completely worth purchasing amid ram price increase war tension going world highly likely phone price going even much higher worth value money purchase
5.0 out of 5 stars,Happy to Purchase one more Oneplus,"It is nice. I gifted the phone to my wife. Earlier she was using the same brand of handset. She wanted to upgrade in the same brand because of it’s camera quality, it’s speed and use of handset is outstanding. Heating is quite normal in phones. When it’s getting charge. Connectivity in terms of great earlier it was 4 g handset now it’s 5 g so i can feel the difference.Read more",nice gifted phone wife earlier using brand handset wanted upgrade brand camera quality speed use handset outstanding heating quite normal phone getting charge connectivity term great earlier 4 g handset 5 g feel difference
4.0 out of 5 stars,A really good phone which tries to meet everyone's expectations and in budget.,"Got this beauty on Dec 23. Upgraded from iqoo3( yes, the first iqoo phone in India) after almost 5 years. Must say the previous one really held its ground.Coming back to 15r, this is pretty good upgrade as I am not very frequent camera user and gaming was my major priority. This phone really delivers on that front. Performance is smooth and you can get 110-115 avg fps in bgmi. Battery at 7400 mah is a really good, no complaints there. Camera is pretty good as well for the price. It has the same primary camera as the oneplus 15. Gives amazing results in daylight. If you know a little about photography then you can make a good use of this camera as well. UI is smooth and haptics are a little weak but not a deal breaker. Overall this phone is bang for the buck. I did consider waiting for the new iqoo neo 11 but the UI has lots of ads and I wanted a little cleaner experience. Go for it, as new phones are going to get pricey anyway.Read more",got beauty dec upgraded iqoo3 yes first iqoo phone india almost 5 year must say previous one really held back 15r pretty good upgrade frequent camera user gaming major priority phone really delivers front performance smooth get avg fps bgmi battery 7400 mah really good complaint camera pretty good well price primary camera oneplus give amazing result daylight know little photography make good use camera well ui smooth haptics little weak deal breaker overall phone bang buck consider waiting new iqoo neo 11 ui lot ad wanted little cleaner experience go new phone going get pricey anyway
5.0 out of 5 stars,Good smartphone,This phone is really good. Pretty fast and meets my expectations. I was an iphone user and transitioning to android now. The performance of the phone is excellent so far.Read more,phone really good pretty fast meet expectation iphone user transitioning android performance phone excellent far
