word,feature_index,frequency
good,1314,759
quality,2296,683
sound,2707,622
battery,394,501
earbuds,942,470
product,2252,319
phone,2144,318
bud,498,275
use,3058,272
bass,390,257
also,253,255
feel,1158,254
price,2231,241
great,1330,237
life,1706,230
clear,614,228
like,1712,226
call,520,226
music,1928,200
case,547,198
design,836,188
performance,2133,183
audio,337,182
charging,578,181
even,1050,178
day,783,175
overall,2061,172
ear,940,172
noise,1981,171
work,3178,170
long,1735,168
one,2029,165
premium,2221,164
feature,1152,162
look,1739,162
last,1660,157
value,3071,156
time,2921,155
using,3064,152
hour,1432,150
comfortable,643,149
well,3142,138
experience,1087,136
fast,1142,135
backup,369,132
best,422,131
money,1904,129
camera,527,125
fit,1186,124
gaming,1265,122
make,1783,117
without,3171,112
excellent,1066,110
really,2346,110
anc,271,109
charge,575,107
issue,1566,106
device,848,106
listening,1723,106
connectivity,690,105
build,504,105
daily,771,99
smooth,2679,99
clarity,606,98
mic,1859,96
touch,2946,93
better,424,93
2,46,92
samsung,2511,92
low,1763,89
decent,792,88
nice,1968,87
cancellation,532,87
super,2824,86
solid,2691,85
impressive,1474,84
perfect,2129,84
app,291,82
pair,2084,81
used,3060,78
easily,957,78
control,713,78
support,2828,77
get,1284,77
around,314,76
give,1293,75
could,733,75
mode,1895,75
functionality,1252,74
still,2761,73
pairing,2086,72
strong,2782,70
display,888,69
voice,3101,69
stylish,2801,67
worth,3190,65
buy,513,65
full,1246,64
making,1784,63
vocal,3100,62
review,2461,62
latency,1665,62
go,1309,62
size,2649,62
boat,457,62
tws,2994,61
video,3087,61
compact,655,61
realme,2347,61
every,1054,60
connection,689,60
bought,470,59
offer,2016,58
reliable,2406,57
4,98,57
plus,2176,57
pro,2243,56
range,2317,56
spatial,2713,56
bluetooth,453,55
amazing,258,54
high,1405,54
volume,3103,54
3,77,54
quite,2306,54
much,1918,54
easy,958,54
point,2185,53
looking,1741,53
airdopes,232,53
working,3181,52
usage,3055,50
average,350,50
budget,499,49
dual,928,49
bo,455,49
wear,3135,48
sleek,2656,48
month,1907,47
finish,1180,47
impressed,1472,47
especially,1044,47
year,3213,47
though,2908,47
stable,2734,46
balanced,376,46
10,2,46
thing,2903,45
bad,370,45
back,364,45
come,639,44
user,3063,44
want,3115,44
purchase,2281,44
purpose,2286,43
truke,2975,43
wireless,3166,43
noisy,1982,43
week,3138,43
300,79,43
awesome,358,43
compared,660,42
watching,3128,42
brand,473,42
deep,800,42
amazon,259,42
quick,2299,42
definitely,808,42
almost,247,41
new,1964,41
note,1994,41
everyday,1055,41
little,1726,41
another,278,40
enc,999,40
1,1,40
may,1823,40
option,2040,40
say,2522,40
bit,438,39
highly,1409,39
problem,2244,39
person,2138,39
nothing,1996,39
choice,593,39
black,440,39
take,2862,38
normal,1991,38
enough,1021,37
lack,1647,37
never,1963,37
playing,2167,37
earphone,949,36
service,2578,36
session,2580,36
casual,548,36
love,1758,36
buying,515,36
ai,228,36
mobile,1893,35
fine,1176,35
single,2643,35
however,1435,35
need,1952,35
top,2941,35
hai,1347,35
right,2465,34
connected,687,34
would,3193,34
box,472,34
absolutely,174,34
powerful,2207,34
light,1709,34
recently,2357,34
screen,2533,34
truly,2976,34
two,2993,33
many,1798,33
convenient,716,33
driver,920,33
everything,1057,33
crisp,747,32
punchy,2279,32
5,116,32
medium,1832,32
workout,3182,32
purchased,2282,32
useful,3061,32
perfectly,2130,32
calling,523,32
comfort,642,32
completely,671,32
redmi,2372,32
fitting,1187,31
earbud,941,31
left,1689,31
minute,1878,31
active,196,31
large,1657,31
mega,1836,31
quickly,2300,30
show,2611,30
put,2289,30
loud,1753,30
level,1700,30
immersive,1466,30
color,632,29
heavy,1384,29
cost,728,29
genuinely,1282,29
recommended,2369,29
environment,1027,29
anyone,283,29
pretty,2227,29
notch,1993,28
speaker,2715,28
keep,1619,28
colour,633,28
lot,1751,28
worst,3189,27
stay,2752,27
rating,2328,27
customer,759,27
background,366,27
slightly,2661,27
mids,1867,27
microphone,1861,26
tested,2890,26
since,2641,26
far,1141,26
comfortably,644,26
stop,2766,26
play,2164,26
galaxy,1259,25
movie,1916,25
satisfied,2516,25
expectation,1083,25
main,1779,25
playback,2165,25
lightweight,1711,25
total,2944,25
15,27,25
enx,1029,25
find,1174,25
lover,1761,24
segment,2558,24
gunmetal,1340,24
crystal,753,24
start,2745,24
model,1896,24
think,2904,24
lag,1650,24
despite,839,24
till,2919,24
fantastic,1140,24
going,1311,23
said,2507,23
apps,309,23
sweat,2841,23
smartphone,2677,23
deliver,815,23
away,357,23
switching,2848,23
real,2342,23
durable,934,23
room,2477,23
mean,1826,23
claim,604,23
extremely,1112,23
connect,686,23
longer,1736,23
noticeable,1999,23
honestly,1422,23
okay,2026,22
enjoyable,1017,22
huge,1438,22
big,430,22
update,3039,22
u,3001,22
seamless,2541,22
waste,3124,22
fully,1248,22
taking,2864,22
recommend,2367,21
50,117,21
improved,1477,21
loose,1743,21
affordable,220,21
surprisingly,2835,21
mind,1871,21
6,132,21
major,1782,21
totally,2945,21
poor,2190,21
ca,516,20
bright,484,20
game,1261,20
feeling,1159,20
actually,198,20
mics,1862,20
night,1970,20
7,143,20
add,202,20
yes,3215,20
tried,2970,20
clearly,616,20
weight,3139,20
photo,2145,20
liked,1713,20
side,2623,20
got,1320,20
discomfort,879,20
secure,2549,20
term,2887,20
playtime,2169,20
due,929,20
must,1929,20
know,1636,19
boult,471,19
busy,511,19
ever,1053,19
laptop,1656,19
built,505,19
massive,1809,19
ensures,1023,19
setting,2582,19
leather,1685,19
expect,1081,19
carry,546,19
core,720,19
charged,576,19
durability,933,19
9,160,18
shomoy,2602,18
face,1119,18
others,2048,18
er,1039,18
simple,2636,18
response,2446,18
previous,2229,18
provides,2272,18
gym,1343,18
sharp,2592,18
extra,1108,18
story,2771,18
profile,2256,18
responsive,2449,18
people,2125,18
provide,2271,18
fall,1135,18
difference,855,18
whether,3149,18
eq,1031,18
received,2353,17
yet,3217,17
failure,1130,17
song,2701,17
let,1698,17
considering,695,17
hinge,1410,17
expected,1084,17
signature,2626,17
switch,2846,17
writing,3197,17
replacement,2426,17
multitasking,1926,17
100,3,17
happy,1361,17
coming,647,17
delivers,818,17
minimal,1875,17
someone,2695,17
properly,2265,17
delivery,819,17
13mm,20,17
first,1184,16
pod,2181,16
end,1003,16
neo,1959,16
expensive,1086,16
unique,3027,16
cut,767,16
drop,922,16
hr,1437,16
moderate,1897,16
hear,1377,16
sure,2831,16
marketing,1805,16
5g,129,16
part,2102,16
felt,1163,16
avoid,354,16
shape,2588,16
basic,387,16
available,349,16
rich,2462,16
turn,2985,16
aur,342,16
wo,3173,16
cable,517,16
try,2978,16
everyone,1056,15
already,251,15
front,1242,15
matter,1820,15
hand,1351,15
ambient,260,15
bose,467,15
tuned,2982,15
incredibly,1491,15
drain,913,15
securely,2550,15
thats,2898,15
ram,2315,15
delay,813,15
always,257,15
reason,2349,15
countless,735,15
content,708,15
task,2872,15
slight,2660,15
either,975,15
center,561,15
8,151,15
disappointing,875,15
us,3052,15
mustang,1930,15
loved,1759,15
thought,2909,15
less,1697,14
critical,750,14
jbl,1586,14
started,2746,14
defective,805,14
storage,2768,14
sometimes,2699,14
condition,682,14
suitable,2818,14
upto,3049,14
60,133,14
reasonable,2350,14
open,2034,14
final,1172,14
overpower,2066,14
block,448,14
version,3082,14
verdict,3079,14
google,1316,14
place,2157,14
fail,1126,14
mivi,1888,14
instant,1525,14
traffic,2954,14
system,2852,13
social,2686,13
heating,1383,13
joke,1592,13
instantly,1526,13
automatically,345,13
balance,375,13
accidental,181,13
except,1068,13
deal,786,13
regular,2397,13
hold,1416,13
mess,1849,13
speed,2723,13
handset,1354,13
quad,2295,13
incredible,1490,13
item,1570,13
return,2458,13
noticed,2001,13
struggle,2787,13
poorly,2192,13
class,607,13
isolation,1565,13
contact,705,13
else,985,13
lasting,1662,13
upgrade,3042,13
software,2688,13
amoled,266,13
notice,1998,13
thanks,2896,12
android,272,12
natural,1942,12
sensor,2568,12
needed,1953,12
ar,310,12
hi,1400,12
supreme,2830,12
vibrant,3085,12
stand,2738,12
dropped,923,12
area,312,12
thakay,2894,12
delivered,816,12
glow,1305,12
might,1868,12
bhalo,428,12
80,152,12
small,2673,12
customization,764,12
bhi,429,12
ecosystem,962,12
hoy,1436,12
complaint,669,12
