Star Rating,Review Title,Review Description
5.0 out of 5 stars,Solid Upgrade with a Unique Remote,I really like this TV so far. Even though I use a sound bar the built-in speakers on this thing are actually pretty impressive. The remote is a bit different but I honestly love it. It has a scroll wheel and you can use it almost like a Wii remote which feels so intuitive that going back to a standard remote is going to be tough.My only gripe is that they replaced some of the standard button icons with their own symbols which makes things a little confusing. For example you have to hold down a specific button for a few seconds just to find the input menu. If they kept the Wii functionality and the scroll wheel but used more traditional buttons this remote would be perfect.The build quality seems solid. To be honest I am coming from a QLED and the picture hasn't completely blown me away yet. However the 144Hz refresh rate is awesome and the price was definitely right.Read more
5.0 out of 5 stars,"Great tv, won’t dissapoint.","Ordered the tv yesterday, came this am, earlier than I thought!  Had to assemble the stand to the tv, directions could be a little better, but figured it out.  After mounting the stand, the tv really does need 2 people to put on a stand/dresser.  Probably weights about 48 pounds and is awkward to move for one person.  There is no manual.  Plugged it in, set up the wifi and off and running.  I followed a few youtube videos how to calibrate the tv.  Glad I did, the live pictures are amazing, the colors are so vivid.  I am looking forward to streaming a 4k video, but otherwise the detail is fantastic. In all fairness I do own an earlier version of this tv which is also excellent.  The speakers are so good, I may return the soundbar I ordered.  I keep this tv in the family room and usually I am the only one watching it for sports.  I had a few questions on setup, thank goodness for AI to help out.Read more"
5.0 out of 5 stars,Excellent TV,"This is an excellent television. Amazingly thin screen, was easy to assemble and the setup straightforward. The clarity of the picture is outstanding and the audio quality is quite good as well. I would highly recommend it. The delivery was very quick and it came in perfect condition.Read more"
5.0 out of 5 stars,This LG is the Best OLED TV 📺 on the Market,Excellent TV set with a perfect picture. The 77 “ screen the just the right size for our family room.Easy to set up and works with well with your media devices.Read more
4.0 out of 5 stars,Amazing gaming and work monitor,"Man, I was SOOOO skeptical about this TV - I am using it as a work and gaming monitorBut 2 days in, the blacks are amazing, the colors are so much more than the widescreen 5120x1440 QLED Samsung I was running before - gave it to my son.Love being able to move tabs around and the sound is amazing, no need for an add-on amp in this usageMy one off star is the remote, I HATE the magic remote, IMO Vizio and Roku have better remotes. The fact it forces you to the magic pointer - and there's no way to turn it off- first is BS at this price pointOtherwise great TV if you don't care about these other issues144hz at 4K is beyond cool!Read more"
5.0 out of 5 stars,Great picture,"Great TV , excellent value for the moneyRead more"
5.0 out of 5 stars,Excellent LG OLED TV,"Excellent TV and very high quality picture. Extremely simple setup , and very easy to add all of the streaming Apps.  Only downside , and it is not a big concern is their remote and the attempt to use a mouse like feature while selecting the menu options. The mouse like feature is hard to use. However the remote also allows using a more standard click feature  by using the circle around the mouse button.Read more"
5.0 out of 5 stars,Amazing as a PC Monitor!,"When the price dropped to $899 last month, specifically in October of 2025, I immediately took the opportunity to upgrade my viewing experience. I was so excited to finally replace my faithful, but aging, Samsung 55"" 4K 8 Series UHD HDR Smart television, which I had been using since 2019. The primary function of both TVs has been, and continues to be, serving as a primary PC monitor, demanding a high level of performance across a diverse spectrum of applications. This includes, but is not limited to, immersive gaming sessions, enjoying cinematic movies, and the day-to-day demands of various software applications. I am absolutely thrilled to report that the LG C5 has consistently exceeded all my expectations. The picture quality is nothing short of astounding; the visual clarity is exceptional, the image detail is remarkably crisp, the color accuracy is spot on, and even the text readability is incredibly comfortable, even during prolonged usage. If you are currently searching for a top-tier smart TV that is ideally suited to be used as a high-performance PC monitor, I can confidently state that you need look no further than the LG 48-Inch Class OLED evo AI 4K C5 Series Smart TV. Prepare to be completely satisfied with your decision!Settings: LG C5• Game Dashboard• 4:4:4 Pass Through• HDMI Deep Color (4K)• Dolby Vision PC• Quick Frame Transport• AMD FreeSync Premium• 144Hz Mode• ALLMSettings: Windows 11• HDR• Windows HDR Calibration (Tool)Settings: AMD Adrenalin Software• RGB 4:4:4 Pixel Format PC Standard (Full RGB)• Color Depth: 12bpcResult: OLED Heaven!Read more"
5.0 out of 5 stars,Solid Upgrade with a Unique Remote,I really like this TV so far. Even though I use a sound bar the built-in speakers on this thing are actually pretty impressive. The remote is a bit different but I honestly love it. It has a scroll wheel and you can use it almost like a Wii remote which feels so intuitive that going back to a standard remote is going to be tough.My only gripe is that they replaced some of the standard button icons with their own symbols which makes things a little confusing. For example you have to hold down a specific button for a few seconds just to find the input menu. If they kept the Wii functionality and the scroll wheel but used more traditional buttons this remote would be perfect.The build quality seems solid. To be honest I am coming from a QLED and the picture hasn't completely blown me away yet. However the 144Hz refresh rate is awesome and the price was definitely right.Read more
5.0 out of 5 stars,"Great tv, won’t dissapoint.","Ordered the tv yesterday, came this am, earlier than I thought!  Had to assemble the stand to the tv, directions could be a little better, but figured it out.  After mounting the stand, the tv really does need 2 people to put on a stand/dresser.  Probably weights about 48 pounds and is awkward to move for one person.  There is no manual.  Plugged it in, set up the wifi and off and running.  I followed a few youtube videos how to calibrate the tv.  Glad I did, the live pictures are amazing, the colors are so vivid.  I am looking forward to streaming a 4k video, but otherwise the detail is fantastic. In all fairness I do own an earlier version of this tv which is also excellent.  The speakers are so good, I may return the soundbar I ordered.  I keep this tv in the family room and usually I am the only one watching it for sports.  I had a few questions on setup, thank goodness for AI to help out.Read more"
